national_olympic_team,national_iso3,national_noc,participated_olympic_game,year,season,host_country,host_iso3,is_host_country_team,total_number_of_athletes,number_of_male_athletes,number_of_female_athletes,proportion_male_athletes,proportion_female_athletes,score_total,score_female,score_male,score_total_raw,score_female_raw,score_male_raw,game_total_score_raw
Belize,BLZ,BIZ,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Bermuda,BMU,BER,2000 Summer Olympics,2000,Summer,Australia,AUS,False,6,4,2,0.6666666666666666,0.3333333333333333,0.0004932681053086098,0.0001360739600851337,0.00035719414522347595,0.8055555555555556,0.2222222222222222,0.5833333333333333,1633.0988095238095
Bolivia,BOL,BOL,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0003401849002128343,0.0001360739600851337,0.00020411094012770054,0.5555555555555556,0.2222222222222222,0.3333333333333333,1633.0988095238095
Brazil,BRA,BRA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,210,112,98,0.5333333333333333,0.4666666666666667,0.011485614188043036,0.0037663328237849507,0.007719281364258085,18.757142857142856,6.15079365079365,12.606349206349206,1633.0988095238095
Barbados,BRB,BAR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,18,12,6,0.6666666666666666,0.3333333333333333,0.0017179337460748129,0.0004762588602979679,0.001241674885776845,2.8055555555555554,0.7777777777777777,2.0277777777777777,1633.0988095238095
Brunei Darussalam,BRN,BRU,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,2,0,1.0,0.0,0.0001360739600851337,0.0,0.0001360739600851337,0.2222222222222222,0.0,0.2222222222222222,1633.0988095238095
Bhutan,BTN,BHU,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Botswana,BWA,BOT,2000 Summer Olympics,2000,Summer,Australia,AUS,False,7,7,0,1.0,0.0,0.0003596240373678533,0.0,0.0003596240373678533,0.5873015873015872,0.0,0.5873015873015872,1633.0988095238095
Central African Republic,CAF,CAF,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,1,2,0.3333333333333333,0.6666666666666666,0.00020411094012770054,0.0001360739600851337,6.803698004256685e-05,0.3333333333333333,0.2222222222222222,0.1111111111111111,1633.0988095238095
Canada,CAN,CAN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,297,151,146,0.5084175084175084,0.49158249158249157,0.023341300949674747,0.01138307273955031,0.011958228210124437,38.118650793650794,18.58968253968254,19.52896825396825,1633.0988095238095
Switzerland,CHE,SUI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,103,65,38,0.6310679611650486,0.36893203883495146,0.010691525435260505,0.0046979534719392415,0.005993571963321264,17.46031746031746,7.6722222222222225,9.788095238095238,1633.0988095238095
Chile,CHL,CHI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,55,48,7,0.8727272727272727,0.12727272727272726,0.0024007334386448587,0.0004762588602979679,0.001924474578346891,3.9206349206349205,0.7777777777777777,3.142857142857143,1633.0988095238095
People's Republic of China,CHN,CHN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,282,94,188,0.3333333333333333,0.6666666666666666,0.044443213299091296,0.025552988779487047,0.01889022451960425,72.58015873015873,41.730555555555554,30.849603174603175,1633.0988095238095
Côte d'Ivoire,CIV,CIV,2000 Summer Olympics,2000,Summer,Australia,AUS,False,14,7,7,0.5,0.5,0.0008708733445448556,0.0004082218802554011,0.0004626514642894546,1.422222222222222,0.6666666666666666,0.7555555555555555,1633.0988095238095
Cameroon,CMR,CMR,2000 Summer Olympics,2000,Summer,Australia,AUS,False,35,26,9,0.7428571428571429,0.2571428571428571,0.0017009245010641712,0.0006123328203831017,0.0010885916806810695,2.7777777777777777,1.0,1.7777777777777777,1633.0988095238095
Democratic Republic of the Congo,COD,COD,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.00020411094012770054,0.0001360739600851337,6.803698004256685e-05,0.3333333333333333,0.2222222222222222,0.1111111111111111,1633.0988095238095
Congo,COG,CGO,2000 Summer Olympics,2000,Summer,Australia,AUS,False,5,3,2,0.6,0.4,0.0003401849002128343,0.0001360739600851337,0.00020411094012770054,0.5555555555555556,0.2222222222222222,0.3333333333333333,1633.0988095238095
Cook Islands,COK,COK,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Colombia,COL,COL,2000 Summer Olympics,2000,Summer,Australia,AUS,False,44,25,19,0.5681818181818182,0.4318181818181818,0.004037022808668592,0.0019220446862025136,0.002114978122466078,6.5928571428571425,3.138888888888889,3.4539682539682537,1633.0988095238095
Comoros,COM,COM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Cabo Verde,CPV,CPV,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Costa Rica,CRI,CRC,2000 Summer Olympics,2000,Summer,Australia,AUS,False,7,5,2,0.7142857142857143,0.2857142857142857,0.0009525177205959358,0.0005442958403405348,0.0004082218802554011,1.5555555555555554,0.8888888888888888,0.6666666666666666,1633.0988095238095
Cuba,CUB,CUB,2000 Summer Olympics,2000,Summer,Australia,AUS,False,234,148,86,0.6324786324786325,0.36752136752136755,0.02205758892980017,0.006593998312196917,0.015463590617603256,36.02222222222222,10.768650793650794,25.253571428571426,1633.0988095238095
Cayman Islands,CYM,CAY,2000 Summer Olympics,2000,Summer,Australia,AUS,False,3,1,2,0.3333333333333333,0.6666666666666666,0.0002721479201702674,0.00020411094012770054,6.803698004256685e-05,0.4444444444444444,0.3333333333333333,0.1111111111111111,1633.0988095238095
Cyprus,CYP,CYP,2000 Summer Olympics,2000,Summer,Australia,AUS,False,22,17,5,0.7727272727272727,0.22727272727272727,0.0014372812033992249,0.0003401849002128343,0.0010970963031863904,2.3472222222222223,0.5555555555555556,1.7916666666666665,1633.0988095238095
Czechia,CZE,CZE,2000 Summer Olympics,2000,Summer,Australia,AUS,False,125,92,33,0.736,0.264,0.011446006946089684,0.003779211252150151,0.007666795693939533,18.692460317460316,6.171825396825397,12.52063492063492,1633.0988095238095
Germany,DEU,GER,2000 Summer Olympics,2000,Summer,Australia,AUS,False,429,241,188,0.5617715617715617,0.4382284382284382,0.045152741805249495,0.017784502099305318,0.02736823970594417,73.7388888888889,29.043849206349208,44.69503968253968,1633.0988095238095
Djibouti,DJI,DJI,2000 Summer Olympics,2000,Summer,Australia,AUS,False,2,1,1,0.5,0.5,0.0001360739600851337,6.803698004256685e-05,6.803698004256685e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1633.0988095238095
Dominica,DMA,DMA,2000 Summer Olympics,2000,Summer,Australia,AUS,False,4,2,2,0.5,0.5,0.0002721479201702674,0.0001360739600851337,0.0001360739600851337,0.4444444444444444,0.2222222222222222,0.2222222222222222,1633.0988095238095
Denmark,DNK,DEN,2000 Summer Olympics,2000,Summer,Australia,AUS,False,97,53,44,0.5463917525773195,0.4536082474226804,0.008204287836275812,0.003533549156353597,0.004670738679922214,13.398412698412699,5.770634920634921,7.627777777777777,1633.0988095238095
Dominican Republic,DOM,DOM,2000 Summer Olympics,2000,Summer,Australia,AUS,False,13,11,2,0.8461538461538461,0.15384615384615385,0.0008929853630586899,0.00014457858259045455,0.0007484067804682354,1.4583333333333333,0.2361111111111111,1.222222222222222,1633.0988095238095
Algeria,DZA,ALG,2000 Summer Olympics,2000,Summer,Australia,AUS,False,48,37,11,0.7708333333333334,0.22916666666666666,0.004530290913977201,0.0013665713419978428,0.003163719571979358,7.398412698412698,2.231746031746032,5.166666666666666,1633.0988095238095
Ecuador,ECU,ECU,2000 Summer Olympics,2000,Summer,Australia,AUS,False,10,7,3,0.7,0.3,0.000833453005521444,0.00020411094012770054,0.0006293420653937433,1.3611111111111112,0.3333333333333333,1.0277777777777777,1633.0988095238095
