national_olympic_team,national_iso3,national_noc,participated_olympic_game,year,season,host_country,host_iso3,is_host_country_team,total_number_of_athletes,number_of_male_athletes,number_of_female_athletes,proportion_male_athletes,proportion_female_athletes,score_total,score_female,score_male,score_total_raw,score_female_raw,score_male_raw,game_total_score_raw
Cyprus,CYP,CYP,2004 Summer Olympics,2004,Summer,Greece,GRC,False,20,13,7,0.65,0.35,0.001446597666254173,0.0004821992220847243,0.0009643984441694486,2.333333333333333,0.7777777777777777,1.5555555555555554,1612.9801587301588
Czechia,CZE,CZE,2004 Summer Olympics,2004,Summer,Greece,GRC,False,142,80,62,0.5633802816901409,0.43661971830985913,0.012206528879059023,0.00509064607315159,0.007115882805907432,19.68888888888889,8.21111111111111,11.477777777777778,1612.9801587301588
Germany,DEU,GER,2004 Summer Olympics,2004,Summer,Greece,GRC,False,453,254,199,0.5607064017660044,0.4392935982339956,0.04413722012148468,0.018418288143557594,0.02571893197792708,71.19246031746032,29.708333333333332,41.48412698412698,1612.9801587301588
Dominica,DMA,DMA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00013777120630992123,6.888560315496062e-05,6.888560315496062e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1612.9801587301588
Denmark,DNK,DEN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,92,48,44,0.5217391304347826,0.4782608695652174,0.007822452278268313,0.003191863626187354,0.00463058865208096,12.617460317460317,5.148412698412698,7.469047619047619,1612.9801587301588
Dominican Republic,DOM,DOM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,33,17,16,0.5151515151515151,0.48484848484848486,0.002121676577172787,0.0003444280157748031,0.001777248561397984,3.422222222222222,0.5555555555555556,2.8666666666666667,1612.9801587301588
Algeria,DZA,ALG,2004 Summer Olympics,2004,Summer,Greece,GRC,False,62,46,16,0.7419354838709677,0.25806451612903225,0.004841427801737392,0.0012802881386371966,0.0035611396631001963,7.8091269841269835,2.065079365079365,5.744047619047619,1612.9801587301588
Ecuador,ECU,ECU,2004 Summer Olympics,2004,Summer,Greece,GRC,False,16,11,5,0.6875,0.3125,0.0013457294616344092,0.000432995219831181,0.0009127342418032282,2.1706349206349205,0.6984126984126984,1.472222222222222,1612.9801587301588
Egypt,EGY,EGY,2004 Summer Olympics,2004,Summer,Greece,GRC,False,98,82,16,0.8367346938775511,0.16326530612244897,0.005259415800881243,0.0010332840473244091,0.004226131753556834,8.483333333333333,1.6666666666666665,6.816666666666666,1612.9801587301588
Eritrea,ERI,ERI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,3,1,0.75,0.25,0.0005018808229861417,6.888560315496062e-05,0.000432995219831181,0.8095238095238095,0.1111111111111111,0.6984126984126984,1612.9801587301588
Spain,ESP,ESP,2004 Summer Olympics,2004,Summer,Greece,GRC,False,320,180,140,0.5625,0.4375,0.025219757375064884,0.009563781918021211,0.015655975457043673,40.67896825396825,15.426190476190476,25.252777777777776,1612.9801587301588
Estonia,EST,EST,2004 Summer Olympics,2004,Summer,Greece,GRC,False,42,31,11,0.7380952380952381,0.2619047619047619,0.0034012266557761806,0.0007577416347045667,0.0026434850210716137,5.486111111111111,1.222222222222222,4.263888888888888,1612.9801587301588
Ethiopia,ETH,ETH,2004 Summer Olympics,2004,Summer,Greece,GRC,False,26,14,12,0.5384615384615384,0.46153846153846156,0.004329460158289275,0.0020665680946488183,0.0022628920636404565,6.983333333333333,3.333333333333333,3.65,1612.9801587301588
Finland,FIN,FIN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,53,36,17,0.6792452830188679,0.32075471698113206,0.004971818407709282,0.001648088055482433,0.0033237303522268497,8.019444444444444,2.658333333333333,5.361111111111111,1612.9801587301588
Fiji,FJI,FIJ,2004 Summer Olympics,2004,Summer,Greece,GRC,False,8,4,4,0.5,0.5,0.0006199704283946456,0.00027554241261984247,0.0003444280157748031,1.0,0.4444444444444444,0.5555555555555556,1612.9801587301588
France,FRA,FRA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,314,199,115,0.6337579617834395,0.3662420382165605,0.03516216409042711,0.01411810436660918,0.021044059723817933,56.715873015873015,22.772222222222222,33.94365079365079,1612.9801587301588
Federated States of Micronesia,FSM,FSM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.0003444280157748031,0.00013777120630992123,0.00020665680946488186,0.5555555555555556,0.2222222222222222,0.3333333333333333,1612.9801587301588
Gabon,GAB,GAB,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.0003444280157748031,0.00013777120630992123,0.00020665680946488186,0.5555555555555556,0.2222222222222222,0.3333333333333333,1612.9801587301588
The Gambia,GAM,GAM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00020665680946488186,6.888560315496062e-05,0.00013777120630992123,0.3333333333333333,0.1111111111111111,0.2222222222222222,1612.9801587301588
Great Britain,GBR,GBR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,268,164,104,0.6119402985074627,0.3880597014925373,0.028617539750683322,0.012604097217267652,0.01601344253341567,46.15952380952381,20.33015873015873,25.82936507936508,1612.9801587301588
Guinea Bissau,GBS,GBS,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,1,2,0.3333333333333333,0.6666666666666666,0.00020665680946488186,0.00013777120630992123,6.888560315496062e-05,0.3333333333333333,0.2222222222222222,0.1111111111111111,1612.9801587301588
Georgia,GEO,GEO,2004 Summer Olympics,2004,Summer,Greece,GRC,False,33,27,6,0.8181818181818182,0.18181818181818182,0.004521355767078094,0.0004908099224790945,0.004030545844598999,7.292857142857143,0.7916666666666666,6.501190476190476,1612.9801587301588
Ghana,GHA,GHA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,31,28,3,0.9032258064516129,0.0967741935483871,0.0007921844362820471,0.00020665680946488186,0.0005855276268171653,1.2777777777777777,0.3333333333333333,0.9444444444444444,1612.9801587301588
Guinea,GIN,GUI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00027554241261984247,6.888560315496062e-05,0.00020665680946488186,0.4444444444444444,0.1111111111111111,0.3333333333333333,1612.9801587301588
Equatorial Guinea,GNQ,GEQ,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00020665680946488186,6.888560315496062e-05,0.00013777120630992123,0.3333333333333333,0.1111111111111111,0.2222222222222222,1612.9801587301588
Greece,GRC,GRE,2004 Summer Olympics,2004,Summer,Greece,GRC,True,443,224,219,0.5056433408577878,0.49435665914221216,0.025219511355053622,0.01191499516570678,0.013304516189346841,40.67857142857143,19.218650793650795,21.459920634920636,1612.9801587301588
Grenada,GRD,GRN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.00043053501971850386,0.00013777120630992123,0.00029276381340858265,0.6944444444444444,0.2222222222222222,0.4722222222222222,1612.9801587301588
Guatemala,GTM,GUA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,18,11,7,0.6111111111111112,0.3888888888888889,0.0015051504289358894,0.0006923003117073542,0.0008128501172285353,2.4277777777777776,1.1166666666666667,1.3111111111111111,1612.9801587301588
Guam,GUM,GUM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,3,1,0.75,0.25,0.00027554241261984247,6.888560315496062e-05,0.00020665680946488186,0.4444444444444444,0.1111111111111111,0.3333333333333333,1612.9801587301588
Guyana,GUY,GUY,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00027554241261984247,0.00013777120630992123,0.00013777120630992123,0.4444444444444444,0.2222222222222222,0.2222222222222222,1612.9801587301588
"Hong Kong, China",HKG,HKG,2004 Summer Olympics,2004,Summer,Greece,GRC,False,32,14,18,0.4375,0.5625,0.0033788388347508187,0.0016842529971387874,0.0016945858376120314,5.45,2.716666666666667,2.7333333333333334,1612.9801587301588
Honduras,HND,HON,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.0003444280157748031,0.00013777120630992123,0.00020665680946488186,0.5555555555555556,0.2222222222222222,0.3333333333333333,1612.9801587301588
Croatia,HRV,CRO,2004 Summer Olympics,2004,Summer,Greece,GRC,False,81,66,15,0.8148148148148148,0.18518518518518517,0.005899067830177305,0.0016257002344570706,0.004273367595720235,9.515079365079364,2.6222222222222222,6.892857142857142,1612.9801587301588
Haiti,HTI,HAI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,8,7,1,0.875,0.125,0.0005510848252396849,6.888560315496062e-05,0.0004821992220847243,0.8888888888888888,0.1111111111111111,0.7777777777777777,1612.9801587301588
Hungary,HUN,HUN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,212,121,91,0.5707547169811321,0.42924528301886794,0.01991851817226813,0.009389845770054936,0.010528672402213194,32.1281746031746,15.14563492063492,16.98253968253968,1612.9801587301588
Indonesia,IDN,INA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,38,22,16,0.5789473684210527,0.42105263157894735,0.0037387661112354875,0.0012692172381301493,0.0024695488731053383,6.030555555555555,2.047222222222222,3.9833333333333334,1612.9801587301588
India,IND,IND,2004 Summer Olympics,2004,Summer,Greece,GRC,False,74,48,26,0.6486486486486487,0.35135135135135137,0.004402282081624519,0.0018313729638768815,0.0025709091177476373,7.10079365079365,2.9539682539682537,4.146825396825396,1612.9801587301588
Ireland,IRL,IRL,2004 Summer Olympics,2004,Summer,Greece,GRC,False,46,32,14,0.6956521739130435,0.30434782608695654,0.0029731518361703537,0.0010298397671666612,0.0019433120690036927,4.79563492063492,1.661111111111111,3.1345238095238095,1612.9801587301588
Islamic Republic of Iran,IRN,IRI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,38,37,1,0.9736842105263158,0.02631578947368421,0.004870212143055715,6.888560315496062e-05,0.004801326539900755,7.855555555555555,0.1111111111111111,7.7444444444444445,1612.9801587301588
Iraq,IRQ,IRQ,2004 Summer Olympics,2004,Summer,Greece,GRC,False,27,26,1,0.9629629629629629,0.037037037037037035,0.000656873430084803,6.888560315496062e-05,0.0005879878269298424,1.0595238095238095,0.1111111111111111,0.9484126984126984,1612.9801587301588
Iceland,ISL,ISL,2004 Summer Olympics,2004,Summer,Greece,GRC,False,26,21,5,0.8076923076923077,0.19230769230769232,0.001452502146524598,0.0004684221014537322,0.000984080045070866,2.3428571428571425,0.7555555555555555,1.5873015873015872,1612.9801587301588
Israel,ISR,ISR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,36,20,16,0.5555555555555556,0.4444444444444444,0.0036802133485537712,0.0012054980552118108,0.0024747152933419603,5.936111111111111,1.9444444444444444,3.9916666666666667,1612.9801587301588
Italy,ITA,ITA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,371,236,135,0.6361185983827493,0.3638814016172507,0.03010768295893188,0.010272073530460966,0.019835609428470912,48.56309523809524,16.568650793650793,31.994444444444444,1612.9801587301588
Jamaica,JAM,JAM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,51,24,27,0.47058823529411764,0.5294117647058824,0.005567678874999693,0.003554497122795968,0.0020131817522037244,8.980555555555556,5.733333333333333,3.2472222222222222,1612.9801587301588
Jordan,JOR,JOR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,8,4,4,0.5,0.5,0.0006923003117073542,0.000330650895143811,0.00036164941656354323,1.1166666666666667,0.5333333333333333,0.5833333333333333,1612.9801587301588
Japan,JPN,JPN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,321,146,175,0.45482866043613707,0.5451713395638629,0.032064526128555294,0.01505101224933636,0.017013513879218935,51.71944444444444,24.276984126984125,27.442460317460316,1612.9801587301588
Kazakhstan,KAZ,KAZ,2004 Summer Olympics,2004,Summer,Greece,GRC,False,116,71,45,0.6120689655172413,0.3879310344827586,0.010175879706055291,0.0026262636202828735,0.007549616085772416,16.413492063492065,4.236111111111111,12.177380952380952,1612.9801587301588
Kenya,KEN,KEN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,46,22,24,0.4782608695652174,0.5217391304347826,0.004451486083878063,0.0013777120630992124,0.00307377402077885,7.18015873015873,2.2222222222222223,4.957936507936508,1612.9801587301588
Kyrgyzstan,KGZ,KGZ,2004 Summer Olympics,2004,Summer,Greece,GRC,False,29,22,7,0.7586206896551724,0.2413793103448276,0.0022594477834827083,0.0004821992220847243,0.001777248561397984,3.6444444444444444,0.7777777777777777,2.8666666666666667,1612.9801587301588
Cambodia,KHM,CAM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00027554241261984247,0.00013777120630992123,0.00013777120630992123,0.4444444444444444,0.2222222222222222,0.2222222222222222,1612.9801587301588
Kiribati,KIR,KIR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020665680946488186,6.888560315496062e-05,0.00013777120630992123,0.3333333333333333,0.1111111111111111,0.2222222222222222,1612.9801587301588
Saint Kitts and Nevis,KNA,SKN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00017221400788740155,6.888560315496062e-05,0.00010332840473244093,0.2777777777777778,0.1111111111111111,0.16666666666666666,1612.9801587301588
Republic of Korea,KOR,KOR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,272,151,121,0.5551470588235294,0.44485294117647056,0.02668972694238949,0.009642754341638148,0.017046972600751345,43.05,15.553571428571429,27.49642857142857,1612.9801587301588
Kuwait,KWT,KUW,2004 Summer Olympics,2004,Summer,Greece,GRC,False,11,10,1,0.9090909090909091,0.09090909090909091,0.0008007951366764171,6.888560315496062e-05,0.0007319095335214566,1.2916666666666665,0.1111111111111111,1.1805555555555556,1612.9801587301588
Lao People's Democratic Republic,LAO,LAO,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.0003444280157748031,0.00013777120630992123,0.00020665680946488186,0.5555555555555556,0.2222222222222222,0.3333333333333333,1612.9801587301588
Lebanon,LBN,LBN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.0003444280157748031,0.00013777120630992123,0.00020665680946488186,0.5555555555555556,0.2222222222222222,0.3333333333333333,1612.9801587301588
Liberia,LBR,LBR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00013777120630992123,6.888560315496062e-05,6.888560315496062e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1612.9801587301588
Libya,LBY,LBA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,8,6,2,0.75,0.25,0.0005707664261411022,0.00013777120630992123,0.000432995219831181,0.9206349206349206,0.2222222222222222,0.6984126984126984,1612.9801587301588
Saint Lucia,LCA,LCA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00013777120630992123,6.888560315496062e-05,6.888560315496062e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1612.9801587301588
Liechtenstein,LIE,LIE,2004 Summer Olympics,2004,Summer,Greece,GRC,False,1,1,0,1.0,0.0,6.888560315496062e-05,0.0,6.888560315496062e-05,0.1111111111111111,0.0,0.1111111111111111,1612.9801587301588
Sri Lanka,LKA,SRI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,7,4,3,0.5714285714285714,0.42857142857142855,0.0005510848252396849,0.00027554241261984247,0.00027554241261984247,0.8888888888888888,0.4444444444444444,0.4444444444444444,1612.9801587301588
Lesotho,LSO,LES,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,1,2,0.3333333333333333,0.6666666666666666,0.00020665680946488186,0.00013777120630992123,6.888560315496062e-05,0.3333333333333333,0.2222222222222222,0.1111111111111111,1612.9801587301588
Lithuania,LTU,LTU,2004 Summer Olympics,2004,Summer,Greece,GRC,False,59,47,12,0.7966101694915254,0.2033898305084746,0.004827650681106401,0.0013801722632118896,0.0034474784178945114,7.786904761904761,2.2261904761904763,5.560714285714286,1612.9801587301588
Luxembourg,LUX,LUX,2004 Summer Olympics,2004,Summer,Greece,GRC,False,10,6,4,0.6,0.4,0.0009299556425919683,0.00041331361892976373,0.0005166420236622046,1.5,0.6666666666666666,0.8333333333333333,1612.9801587301588
Latvia,LVA,LAT,2004 Summer Olympics,2004,Summer,Greece,GRC,False,32,22,10,0.6875,0.3125,0.004279272075990661,0.0010185228466483463,0.0032607492293423145,6.902380952380952,1.6428571428571428,5.2595238095238095,1612.9801587301588
Morocco,MAR,MAR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,62,53,9,0.8548387096774194,0.14516129032258066,0.004524061987202039,0.0009299556425919683,0.0035941063446100706,7.2972222222222225,1.5,5.7972222222222225,1612.9801587301588
Monaco,MCO,MON,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020665680946488186,6.888560315496062e-05,0.00013777120630992123,0.3333333333333333,0.1111111111111111,0.2222222222222222,1612.9801587301588
Republic of Moldova,MDA,MDA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,33,26,7,0.7878787878787878,0.21212121212121213,0.0024144403905813697,0.0004821992220847243,0.0019322411684966454,3.8944444444444444,0.7777777777777777,3.1166666666666667,1612.9801587301588
Madagascar,MDG,MAD,2004 Summer Olympics,2004,Summer,Greece,GRC,False,9,4,5,0.4444444444444444,0.5555555555555556,0.0006199704283946456,0.0003444280157748031,0.00027554241261984247,1.0,0.5555555555555556,0.4444444444444444,1612.9801587301588
Maldives,MDV,MDV,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00027554241261984247,0.00013777120630992123,0.00013777120630992123,0.4444444444444444,0.2222222222222222,0.2222222222222222,1612.9801587301588
Mexico,MEX,MEX,2004 Summer Olympics,2004,Summer,Greece,GRC,False,122,67,55,0.5491803278688525,0.45081967213114754,0.0076773004716203614,0.0036578255275284085,0.0040194749440919525,12.383333333333333,5.8999999999999995,6.483333333333333,1612.9801587301588
North Macedonia,MKD,MKD,2004 Summer Olympics,2004,Summer,Greece,GRC,False,10,7,3,0.7,0.3,0.0009643984441694486,0.00041331361892976373,0.0005510848252396849,1.5555555555555554,0.6666666666666666,0.8888888888888888,1612.9801587301588
Mali,MLI,MLI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,26,24,2,0.9230769230769231,0.07692307692307693,0.0004684221014537322,0.00013777120630992123,0.000330650895143811,0.7555555555555555,0.2222222222222222,0.5333333333333333,1612.9801587301588
Malta,MLT,MLT,2004 Summer Olympics,2004,Summer,Greece,GRC,False,7,4,3,0.5714285714285714,0.42857142857142855,0.0004821992220847243,0.00020665680946488186,0.00027554241261984247,0.7777777777777777,0.3333333333333333,0.4444444444444444,1612.9801587301588
Myanmar,MMR,MYA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,0,2,0.0,1.0,0.00013777120630992123,0.00013777120630992123,0.0,0.2222222222222222,0.2222222222222222,0.0,1612.9801587301588
Mongolia,MNG,MGL,2004 Summer Olympics,2004,Summer,Greece,GRC,False,20,13,7,0.65,0.35,0.0016274223745359447,0.0005941383272115353,0.0010332840473244091,2.625,0.9583333333333333,1.6666666666666665,1612.9801587301588
Mozambique,MOZ,MOZ,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00036164941656354323,0.00022387821025362202,0.00013777120630992123,0.5833333333333333,0.3611111111111111,0.2222222222222222,1612.9801587301588
Mauritania,MRT,MTN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,1,1,0.5,0.5,0.00013777120630992123,6.888560315496062e-05,6.888560315496062e-05,0.2222222222222222,0.1111111111111111,0.1111111111111111,1612.9801587301588
Mauritius,MUS,MRI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,9,6,3,0.6666666666666666,0.3333333333333333,0.0006544132299721259,0.00020665680946488186,0.00044775642050724404,1.0555555555555556,0.3333333333333333,0.7222222222222222,1612.9801587301588
Malawi,MWI,MAW,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00027554241261984247,0.00013777120630992123,0.00013777120630992123,0.4444444444444444,0.2222222222222222,0.2222222222222222,1612.9801587301588
Malaysia,MYS,MAS,2004 Summer Olympics,2004,Summer,Greece,GRC,False,26,18,8,0.6923076923076923,0.3076923076923077,0.002555655877049039,0.0006888560315496062,0.0018667998454994328,4.122222222222222,1.1111111111111112,3.011111111111111,1612.9801587301588
Namibia,NAM,NAM,2004 Summer Olympics,2004,Summer,Greece,GRC,False,8,7,1,0.875,0.125,0.000885180000541244,6.888560315496062e-05,0.0008162943973862833,1.4277777777777778,0.1111111111111111,1.3166666666666667,1612.9801587301588
Niger,NER,NIG,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,3,1,0.75,0.25,0.00027554241261984247,6.888560315496062e-05,0.00020665680946488186,0.4444444444444444,0.1111111111111111,0.3333333333333333,1612.9801587301588
Nigeria,NGA,NGR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,85,29,56,0.3411764705882353,0.6588235294117647,0.003008332697781637,0.0011759756538596848,0.0018323570439219524,4.852380952380952,1.8968253968253967,2.9555555555555553,1612.9801587301588
Nicaragua,NIC,NCA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,2,3,0.4,0.6,0.00041331361892976373,0.00027554241261984247,0.00013777120630992123,0.6666666666666666,0.4444444444444444,0.2222222222222222,1612.9801587301588
Netherlands,NLD,NED,2004 Summer Olympics,2004,Summer,Greece,GRC,False,214,137,77,0.6401869158878505,0.3598130841121495,0.01606141643561287,0.007905484032071168,0.008155932403541705,25.90674603174603,12.751388888888888,13.155357142857143,1612.9801587301588
Norway,NOR,NOR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,52,35,17,0.6730769230769231,0.3269230769230769,0.006509443478132511,0.002086249695550236,0.004423193782582275,10.499603174603175,3.365079365079365,7.1345238095238095,1612.9801587301588
Nepal,NPL,NEP,2004 Summer Olympics,2004,Summer,Greece,GRC,False,6,3,3,0.5,0.5,0.000432995219831181,0.00022633841036629918,0.00020665680946488186,0.6984126984126984,0.36507936507936506,0.3333333333333333,1612.9801587301588
Nauru,NRU,NRU,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00021526750985925193,6.888560315496062e-05,0.00014638190670429133,0.3472222222222222,0.1111111111111111,0.2361111111111111,1612.9801587301588
New Zealand,NZL,NZL,2004 Summer Olympics,2004,Summer,Greece,GRC,False,148,81,67,0.5472972972972973,0.4527027027027027,0.009698354864184652,0.00443298537903073,0.005265369485153922,15.643253968253967,7.15031746031746,8.492936507936507,1612.9801587301588
Oman,OMN,OMA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,2,2,0,1.0,0.0,0.00013777120630992123,0.0,0.00013777120630992123,0.2222222222222222,0.0,0.2222222222222222,1612.9801587301588
Pakistan,PAK,PAK,2004 Summer Olympics,2004,Summer,Greece,GRC,False,26,24,2,0.9230769230769231,0.07692307692307693,0.0008128501172285353,0.00013777120630992123,0.000675078910918614,1.3111111111111111,0.2222222222222222,1.0888888888888888,1612.9801587301588
Panama,PAN,PAN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,3,1,0.75,0.25,0.0003995364982987716,0.00013777120630992123,0.0002617652919888504,0.6444444444444444,0.2222222222222222,0.4222222222222222,1612.9801587301588
Peru,PER,PER,2004 Summer Olympics,2004,Summer,Greece,GRC,False,12,7,5,0.5833333333333334,0.4166666666666667,0.000984080045070866,0.0003444280157748031,0.0006396520292960629,1.5873015873015872,0.5555555555555556,1.0317460317460316,1612.9801587301588
Philippines,PHL,PHI,2004 Summer Olympics,2004,Summer,Greece,GRC,False,16,12,4,0.75,0.25,0.0015213877496795588,0.0003995364982987716,0.0011218512513807872,2.4539682539682537,0.6444444444444444,1.8095238095238093,1612.9801587301588
Palau,PLW,PLW,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00027554241261984247,0.00013777120630992123,0.00013777120630992123,0.4444444444444444,0.2222222222222222,0.2222222222222222,1612.9801587301588
Papua New Guinea,PNG,PNG,2004 Summer Olympics,2004,Summer,Greece,GRC,False,4,2,2,0.5,0.5,0.00044775642050724404,0.00017221400788740155,0.00027554241261984247,0.7222222222222222,0.2777777777777778,0.4444444444444444,1612.9801587301588
Poland,POL,POL,2004 Summer Olympics,2004,Summer,Greece,GRC,False,200,137,63,0.685,0.315,0.015534687591488692,0.006235623205591543,0.009299064385897149,25.057142857142857,10.057936507936509,14.999206349206348,1612.9801587301588
Puerto Rico,PRI,PUR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,43,32,11,0.7441860465116279,0.2558139534883721,0.0027268858048913693,0.0008817357203834958,0.0018451500845078736,4.398412698412698,1.422222222222222,2.976190476190476,1612.9801587301588
Democratic People's Republic of Korea,PRK,PRK,2004 Summer Olympics,2004,Summer,Greece,GRC,False,36,13,23,0.3611111111111111,0.6388888888888888,0.005929820331585771,0.004121573248768055,0.0018082470828177162,9.56468253968254,6.648015873015873,2.9166666666666665,1612.9801587301588
Portugal,PRT,POR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,84,67,17,0.7976190476190477,0.20238095238095238,0.0057858986249941565,0.0012485515571836613,0.004537347067810495,9.332539682539682,2.013888888888889,7.318650793650793,1612.9801587301588
Paraguay,PRY,PAR,2004 Summer Olympics,2004,Summer,Greece,GRC,False,27,25,2,0.9259259259259259,0.07407407407407407,0.0006544132299721259,0.00013777120630992123,0.0005166420236622047,1.0555555555555556,0.2222222222222222,0.8333333333333334,1612.9801587301588
Palestine,PSE,PLE,2004 Summer Olympics,2004,Summer,Greece,GRC,False,3,2,1,0.6666666666666666,0.3333333333333333,0.00020665680946488186,6.888560315496062e-05,0.00013777120630992123,0.3333333333333333,0.1111111111111111,0.2222222222222222,1612.9801587301588
Qatar,QAT,QAT,2004 Summer Olympics,2004,Summer,Greece,GRC,False,15,15,0,1.0,0.0,0.001214108755606181,0.0,0.001214108755606181,1.9583333333333333,0.0,1.9583333333333333,1612.9801587301588
Romania,ROU,ROU,2004 Summer Olympics,2004,Summer,Greece,GRC,False,109,50,59,0.45871559633027525,0.5412844036697247,0.01829084977772092,0.010951580801582402,0.007339268976138519,29.50277777777778,17.66468253968254,11.838095238095239,1612.9801587301588
Russian Federation,RUS,RUS,2004 Summer Olympics,2004,Summer,Greece,GRC,False,455,248,207,0.545054945054945,0.45494505494505494,0.05899486064196461,0.02638613824848513,0.032608722393479485,95.15753968253968,42.560317460317464,52.59722222222222,1612.9801587301588
Rwanda,RWA,RWA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,3,2,0.6,0.4,0.0003444280157748031,0.00013777120630992123,0.00020665680946488186,0.5555555555555556,0.2222222222222222,0.3333333333333333,1612.9801587301588
Kingdom of Saudi Arabia,SAU,KSA,2004 Summer Olympics,2004,Summer,Greece,GRC,False,17,17,0,1.0,0.0,0.0011710552536343306,0.0,0.0011710552536343306,1.8888888888888888,0.0,1.8888888888888888,1612.9801587301588
Sudan,SDN,SUD,2004 Summer Olympics,2004,Summer,Greece,GRC,False,5,4,1,0.8,0.2,0.00040814719869314167,0.0001239940856789291,0.00028415311301421256,0.6583333333333333,0.2,0.4583333333333333,1612.9801587301588
Senegal,SEN,SEN,2004 Summer Olympics,2004,Summer,Greece,GRC,False,17,6,11,0.35294117647058826,0.6470588235294118,0.0013088264599442519,0.0007577416347045667,0.0005510848252396849,2.111111111111111,1.222222222222222,0.8888888888888888,1612.9801587301588
